trait_code,label_it,label_en,slug_candidate,existing_slug,baseline_label_matches,incoming_label_duplicates,action,notes
TR-1101,Rostro Emostatico-Litico,,rostro_emostatico_litico,rostro_emostatico_litico,rostro_emostatico_litico,,add,
TR-1102,Scheletro Idraulico a Pistoni,,scheletro_idraulico_a_pistoni,scheletro_idraulico_a_pistoni,scheletro_idraulico_a_pistoni,,add,
TR-1103,Ipertrofia Muscolare Massiva,,ipertrofia_muscolare_massiva,ipertrofia_muscolare_massiva,ipertrofia_muscolare_massiva,,add,
TR-1104,Ectotermia Dinamica,,ectotermia_dinamica,ectotermia_dinamica,ectotermia_dinamica,,add,
TR-1105,Organi Sismici Cutanei,,organi_sismici_cutanei,organi_sismici_cutanei,organi_sismici_cutanei,,add,
TR-1201,Pelage Idrorepellente Avanzato,,pelage_idrorepellente_avanzato,pelage_idrorepellente_avanzato,pelage_idrorepellente_avanzato,,add,
TR-1202,Scudo Gluteale Cheratinizzato,,scudo_gluteale_cheratinizzato,scudo_gluteale_cheratinizzato,scudo_gluteale_cheratinizzato,,add,
TR-1203,Articolazioni Multiassiali,,articolazioni_multiassiali,articolazioni_multiassiali,articolazioni_multiassiali,,add,
TR-1204,Coda Prensile Muscolare,,coda_prensile_muscolare,coda_prensile_muscolare,coda_prensile_muscolare,,add,
TR-1205,Rostro Linguale Prensile,,rostro_linguale_prensile,rostro_linguale_prensile,rostro_linguale_prensile,,add,
TR-1301,Ermafroditismo Cronologico,,ermafroditismo_cronologico,ermafroditismo_cronologico,ermafroditismo_cronologico,,add,
TR-1302,Locomozione Miriapode Ibrida,,locomozione_miriapode_ibrida,locomozione_miriapode_ibrida,locomozione_miriapode_ibrida,,add,
TR-1303,Estroflessione Gastrica Acida,,estroflessione_gastrica_acida,estroflessione_gastrica_acida,estroflessione_gastrica_acida,,add,
TR-1304,Artiglio Cinetico a Urto,,artiglio_cinetico_a_urto,artiglio_cinetico_a_urto,artiglio_cinetico_a_urto,,add,
TR-1305,Sistemi Chimio-Sonici,,sistemi_chimio_sonici,sistemi_chimio_sonici,sistemi_chimio_sonici,,add,
TR-1401,Scheletro Pneumatico a Maglie,,scheletro_pneumatico_a_maglie,scheletro_pneumatico_a_maglie,scheletro_pneumatico_a_maglie,,add,
TR-1402,Cinghia Iper-Ciliare,,cinghia_iper_ciliare,cinghia_iper_ciliare,cinghia_iper_ciliare,,add,
TR-1403,Rete Filtro-Polmonare,,rete_filtro_polmonare,rete_filtro_polmonare,rete_filtro_polmonare,,add,
TR-1404,Canto Infrasonico Tattico,,canto_infrasonico_tattico,canto_infrasonico_tattico,canto_infrasonico_tattico,,add,
TR-1405,Siero Anti-Gelo Naturale,,siero_anti_gelo_naturale,siero_anti_gelo_naturale,siero_anti_gelo_naturale,,add,
TR-1501,Zanne Idracida,,zanne_idracida,zanne_idracida,zanne_idracida,,add,
TR-1502,Seta Conduttiva Elettrica,,seta_conduttiva_elettrica,seta_conduttiva_elettrica,seta_conduttiva_elettrica,,add,
TR-1503,Articolazioni a Leva Idraulica,,articolazioni_a_leva_idraulica,articolazioni_a_leva_idraulica,articolazioni_a_leva_idraulica,,add,
TR-1504,Filtrazione Osmotica,,filtrazione_osmotica,filtrazione_osmotica,filtrazione_osmotica,,add,
TR-1505,Occhi Analizzatori di Tensione,,occhi_analizzatori_di_tensione,occhi_analizzatori_di_tensione,occhi_analizzatori_di_tensione,,add,
TR-1601,Membrana Plastica Continua,,membrana_plastica_continua,membrana_plastica_continua,membrana_plastica_continua,,add,
TR-1602,Flusso Ameboide Controllato,,flusso_ameboide_controllato,flusso_ameboide_controllato,flusso_ameboide_controllato,,add,
TR-1603,Fagocitosi Assorbente,,fagocitosi_assorbente,fagocitosi_assorbente,fagocitosi_assorbente,,add,
TR-1604,Moltiplicazione per Fusione,,moltiplicazione_per_fusione,moltiplicazione_per_fusione,moltiplicazione_per_fusione,,add,
TR-1605,Cisti di Ibernazione Minerale,,cisti_di_ibernazione_minerale,cisti_di_ibernazione_minerale,cisti_di_ibernazione_minerale,,add,
TR-1701,Ali Fono-Risonanti,,ali_fono_risonanti,ali_fono_risonanti,ali_fono_risonanti,,add,
TR-1702,Cannone Sonico a Raggio,,cannone_sonico_a_raggio,cannone_sonico_a_raggio,cannone_sonico_a_raggio,,add,
TR-1703,Campo di Interferenza Acustica,,campo_di_interferenza_acustica,campo_di_interferenza_acustica,campo_di_interferenza_acustica,,add,
TR-1704,Cervello a Bassa Latenza,,cervello_a_bassa_latenza,cervello_a_bassa_latenza,cervello_a_bassa_latenza,,add,
TR-1705,Occhi Cinetici,,occhi_cinetici,occhi_cinetici,occhi_cinetici,,add,
TR-1801,Integumento Bipolare,,integumento_bipolare,integumento_bipolare,integumento_bipolare,,add,
TR-1802,Elettromagnete Biologico,,elettromagnete_biologico,elettromagnete_biologico,elettromagnete_biologico,,add,
TR-1803,Scivolamento Magnetico,,scivolamento_magnetico,scivolamento_magnetico,scivolamento_magnetico,,add,
TR-1804,Filtro Metallofago,,filtro_metallofago,filtro_metallofago,filtro_metallofago,,add,
TR-1805,Bozzolo Magnetico,,bozzolo_magnetico,bozzolo_magnetico,bozzolo_magnetico,,add,
TR-1901,Vello di Assorbimento Totale,,vello_di_assorbimento_totale,vello_di_assorbimento_totale,vello_di_assorbimento_totale,,add,
TR-1902,Visione Multi-Spettrale Amplificata,,visione_multi_spettrale_amplificata,visione_multi_spettrale_amplificata,visione_multi_spettrale_amplificata,,add,
TR-1903,Motore Biologico Silenzioso,,motore_biologico_silenzioso,motore_biologico_silenzioso,motore_biologico_silenzioso,,add,
TR-1904,Artigli Ipo-Termici,,artigli_ipo_termici,artigli_ipo_termici,artigli_ipo_termici,,add,
TR-1905,Comunicazione Fotonica Coda-Coda,,comunicazione_fotonica_coda_coda,comunicazione_fotonica_coda_coda,comunicazione_fotonica_coda_coda,,add,
TR-2001,Corna Psico-Conduttive,,corna_psico_conduttive,corna_psico_conduttive,corna_psico_conduttive,,add,
TR-2002,Coscienza dâ€™Alveare Diffusa,,coscienza_d_alveare_diffusa,coscienza_d_alveare_diffusa,coscienza_d_alveare_diffusa,,add,
TR-2003,Aura di Dispersione Mentale,,aura_di_dispersione_mentale,aura_di_dispersione_mentale,aura_di_dispersione_mentale,,add,
TR-2004,Metabolismo di Condivisione Energetica,,metabolismo_di_condivisione_energetica,metabolismo_di_condivisione_energetica,metabolismo_di_condivisione_energetica,,add,
TR-2005,Unghie a Micro-Adesione,,unghie_a_micro_adesione,unghie_a_micro_adesione,unghie_a_micro_adesione,,add,
