id,label,famiglia_macro,famiglia_micro,tier,slot_core,slot_complementare,slot_codes,biomi,fonti_ambientali,expansion
ali_fulminee,Ali Fulminee,Sensoriale,Analitico,T1,sensoriale,analitico,,stratosfera_tempestosa,env_to_traits,coverage_q4_2025
ali_ioniche,Ali Ioniche,Locomotorio,Mobilità,T1,locomotorio,mobilita,,canopia_ionica,env_to_traits,coverage_q4_2025
ali_membrana_sonica,Ali Membrana Sonica,Tegumentario,Difensivo,T1,difensivo,protezione,,caverna_risonante,env_to_traits,coverage_q4_2025
antenne_dustsense,Antenne Dustsense,Digestivo,Metabolico,T1,metabolico,energia,,pianura_salina_iperarida,env_to_traits,coverage_q4_2025
antenne_eco_turbina,Antenne Eco Turbina,Supporto,Logistico,T1,supporto,logistico,,dorsale_termale_tropicale,env_to_traits,coverage_q4_2025
antenne_flusso_mareale,Antenne Flusso Mareale,Offensivo,Assalto,T1,offensivo,assalto,,laguna_bioreattiva,env_to_traits,coverage_q4_2025
antenne_microonde_cavernose,Antenne Microonde Cavernose,Strategico,Tattico,T1,strategia,tattico,,caverna_risonante,env_to_traits,coverage_q4_2025
antenne_plasmatiche_tempesta,Antenne Plasmatiche di Tempesta,Sensoriale,Offensivo,T3,sensoriale,offensivo,,cicloni_psionici,env_to_traits,controllo_psionico
antenne_reagenti,Antenne Reagenti,Simbiotico,Cooperativo,T1,simbiotico,cooperazione,,foresta_acida,env_to_traits,coverage_q4_2025
antenne_tesla,Antenne Tesla,Strutturale,Adattivo,T1,strutturale,resilienza,,canopia_ionica,env_to_traits,coverage_q4_2025
antenne_waveguide,Antenne Waveguide,Sensoriale,Analitico,T1,sensoriale,analitico,,reef_luminescente,env_to_traits,coverage_q4_2025
antenne_wideband,Antenne Wideband,Locomotorio,Mobilità,T1,locomotorio,mobilita,,steppe_algoritmiche,env_to_traits,coverage_q4_2025
appendici_risonanti_marea,Appendici Risonanti Marea,Tegumentario,Difensivo,T1,difensivo,protezione,,laguna_bioreattiva,env_to_traits,coverage_q4_2025
appendici_thermotattiche,Appendici Thermotattiche,Digestivo,Metabolico,T1,metabolico,energia,,abisso_vulcanico,env_to_traits,coverage_q4_2025
armatura_pietra_planare,Armatura di Pietra Planare,Difesa,Strutturale,T2,difesa,strutturale,,rovine_planari,pathfinder_import,pathfinder_dataset
artigli_acidofagi,Artigli Acidofagi,Supporto,Logistico,T1,supporto,logistico,,foresta_acida,env_to_traits,coverage_q4_2025
artigli_induzione,Artigli Induzione,Offensivo,Assalto,T1,offensivo,assalto,,canopia_ionica,env_to_traits,coverage_q4_2025
artigli_radice,Artigli Radice,Strategico,Tattico,T1,strategia,tattico,,mangrovieto_cinetico,env_to_traits,coverage_q4_2025
artigli_scivolo_silente,Artigli Scivolo Silente,Simbiotico,Cooperativo,T1,simbiotico,cooperazione,,caverna_risonante,env_to_traits,coverage_q4_2025
artigli_sghiaccio_glaciale,Artigli Sghiaccio Glaciale,Locomotorio,Predatorio,T2,locomotorio,predatorio,,calotte_glaciali,env_to_traits,controllo_psionico
artigli_vetrificati,Artigli Vetrificati,Strutturale,Adattivo,T1,strutturale,resilienza,,caldera_glaciale,env_to_traits,coverage_q4_2025
artigli_sette_vie,Artigli a Sette Vie,Locomotorio,Prensile,T1,locomotorio,prensile,,caverna_risonante,env_to_traits,controllo_psionico
aura_scudo_radianza,Aura Scudo di Radianza,Supporto,Difesa,T3,supporto,difesa,,rovine_planari,pathfinder_import,pathfinder_dataset
baffi_mareomotori,Baffi Mareomotori,Sensoriale,Analitico,T1,sensoriale,analitico,,mangrovieto_cinetico,env_to_traits,coverage_q4_2025
barbigli_sensori_plasma,Barbigli Sensori Plasma,Locomotorio,Mobilità,T1,locomotorio,mobilita,,stratosfera_tempestosa,env_to_traits,coverage_q4_2025
barriere_miasma_glaciale,Barriere Miasma Glaciale,Tegumentario,Difensivo,T1,difensivo,protezione,,caldera_glaciale,env_to_traits,coverage_q4_2025
batteri_endosimbionti_chemio,Batteri Endosimbionti Chemio,Digestivo,Metabolico,T1,metabolico,energia,,abisso_vulcanico,env_to_traits,coverage_q4_2025
batteri_termofili_endosimbiosi,Batteri Termofili Endosimbiosi,Supporto,Logistico,T1,supporto,logistico,,dorsale_termale_tropicale,env_to_traits,coverage_q4_2025
biochip_memoria,Biochip Memoria,Offensivo,Assalto,T1,offensivo,assalto,,steppe_algoritmiche,env_to_traits,coverage_q4_2025
biofilm_glow,Biofilm Glow,Strategico,Tattico,T1,strategia,tattico,,reef_luminescente,env_to_traits,coverage_q4_2025
biofilm_iperarido,Biofilm Iperarido,Simbiotico,Cooperativo,T1,simbiotico,cooperazione,,pianura_salina_iperarida,env_to_traits,coverage_q4_2025
branchie_dual_mode,Branchie Dual Mode,Strutturale,Adattivo,T1,strutturale,resilienza,,laguna_bioreattiva,env_to_traits,coverage_q4_2025
branchie_eoliche,Branchie Eoliche,Sensoriale,Analitico,T1,sensoriale,analitico,,stratosfera_tempestosa,env_to_traits,coverage_q4_2025
branchie_metalloidi,Branchie Metalloidi,Locomotorio,Mobilità,T1,locomotorio,mobilita,,abisso_vulcanico,env_to_traits,coverage_q4_2025
branchie_microfiltri,Branchie Microfiltri,Tegumentario,Difensivo,T1,difensivo,protezione,,reef_luminescente,env_to_traits,coverage_q4_2025
branchie_osmotiche_salmastra,Branchie Osmotiche Salmastre,Respiratorio,Osmoregolazione,T2,respiratorio,osmoregolazione,,delta_salmastri,env_to_traits,controllo_psionico
branchie_solfatiche,Branchie Solfatiche,Digestivo,Metabolico,T1,metabolico,energia,,caldera_glaciale,env_to_traits,coverage_q4_2025
branchie_turbina,Branchie Turbina,Supporto,Logistico,T1,supporto,logistico,,dorsale_termale_tropicale,env_to_traits,coverage_q4_2025
bulbi_radici_permafrost,Bulbi Radici del Permafrost,Simbiotico,Nutrizione,T2,simbiotico,nutrizione,,permafrost_psionico,env_to_traits,controllo_psionico
camere_anticorrosione,Camere Anticorrosione,Offensivo,Assalto,T1,offensivo,assalto,,foresta_acida,env_to_traits,coverage_q4_2025
camere_mirage,Camere Mirage,Strategico,Tattico,T1,strategia,tattico,,pianura_salina_iperarida,env_to_traits,coverage_q4_2025
camere_nutrienti_vent,Camere Nutrienti Vent,Simbiotico,Cooperativo,T1,simbiotico,cooperazione,,dorsale_termale_tropicale,env_to_traits,coverage_q4_2025
capillari_criogenici,Capillari Criogenici,Strutturale,Adattivo,T1,strutturale,resilienza,,caldera_glaciale,env_to_traits,coverage_q4_2025
capillari_fluoridici,Capillari Fluoridici,Sensoriale,Analitico,T1,sensoriale,analitico,,foresta_acida,env_to_traits,coverage_q4_2025
capillari_fotovoltaici,Capillari Fotovoltaici,Locomotorio,Mobilità,T1,locomotorio,mobilita,,canopia_ionica,env_to_traits,coverage_q4_2025
capsule_paracadute,Capsule Paracadute,Tegumentario,Difensivo,T1,difensivo,protezione,,stratosfera_tempestosa,env_to_traits,coverage_q4_2025
carapace_luminiscente_abissale,Carapace Luminiscente Abissale,Strutturale,Sensoriale,T3,strutturale,sensoriale,,abisso_luminescente,env_to_traits,controllo_psionico
carapace_segmenti_logici,Carapace Segmenti Logici,Digestivo,Metabolico,T1,metabolico,energia,,steppe_algoritmiche,env_to_traits,coverage_q4_2025
carapace_fase_variabile,Carapace a Variazione di Fase,Strutturale,Difensivo,T1,strutturale,difensivo,,canopia_psionica_leggera;falde_magnetiche_psioniche,env_to_traits,controllo_psionico
carapaci_ferruginosi,Carapaci Ferruginosi,Supporto,Logistico,T1,supporto,logistico,,abisso_vulcanico,env_to_traits,coverage_q4_2025
cartilagine_flessotermica_venti,Cartilagine Flessotermica dei Venti,Locomotorio,Adattivo,T2,locomotorio,adattivo,,gole_ventose,env_to_traits,controllo_psionico
cartilagini_biofibre,Cartilagini Biofibre,Offensivo,Assalto,T1,offensivo,assalto,,reef_luminescente,env_to_traits,coverage_q4_2025
cartilagini_desertiche,Cartilagini Desertiche,Strategico,Tattico,T1,strategia,tattico,,pianura_salina_iperarida,env_to_traits,coverage_q4_2025
cartilagini_flessoacustiche,Cartilagini Flessoacustiche,Simbiotico,Cooperativo,T1,simbiotico,cooperazione,,caverna_risonante,env_to_traits,coverage_q4_2025
cartilagini_pseudometalliche,Cartilagini Pseudometalliche,Strutturale,Adattivo,T1,strutturale,resilienza,,abisso_vulcanico,env_to_traits,coverage_q4_2025
cavita_risonanti_tundra,Cavità Risonanti della Tundra,Sensoriale,Supporto,T1,sensoriale,supporto,,tundra_risonante,env_to_traits,controllo_psionico
cervelletto_equilibrio_statico,Cervelletto Equilibrio Statico,Sensoriale,Analitico,T1,sensoriale,analitico,,canopia_ionica,env_to_traits,coverage_q4_2025
chemiorecettori_bromuro,Chemiorecettori Bromuro,Locomotorio,Mobilità,T1,locomotorio,mobilita,,pianura_salina_iperarida,env_to_traits,coverage_q4_2025
chioma_parassita_canopica,Chioma Parassita Canopica,Simbiotico,Utility,T1,simbiotico,utility,,canopie_sospese,env_to_traits,controllo_psionico
circolazione_bifasica,Circolazione Bifasica,Tegumentario,Difensivo,T1,difensivo,protezione,,caldera_glaciale,env_to_traits,coverage_q4_2025
circolazione_bifasica_palude,Circolazione Bifasica di Palude,Metabolico,Resilienza,T2,metabolico,resilienza,,paludi_gas_luminescenti,env_to_traits,controllo_psionico
circolazione_cooling_loop,Circolazione Cooling Loop,Digestivo,Metabolico,T1,metabolico,energia,,steppe_algoritmiche,env_to_traits,coverage_q4_2025
circolazione_doppia,Circolazione Doppia,Supporto,Logistico,T1,supporto,logistico,,dorsale_termale_tropicale,env_to_traits,coverage_q4_2025
circolazione_supercritica,Circolazione Supercritica,Offensivo,Assalto,T1,offensivo,assalto,,abisso_vulcanico,env_to_traits,coverage_q4_2025
ciste_riduttive,Ciste Riduttive,Strategico,Tattico,T1,strategia,tattico,,laguna_bioreattiva,env_to_traits,coverage_q4_2025
ciste_salmastre,Ciste Salmastre,Simbiotico,Cooperativo,T1,simbiotico,cooperazione,,pianura_salina_iperarida,env_to_traits,coverage_q4_2025
cisti_iperbariche,Cisti Iperbariche,Strutturale,Adattivo,T1,strutturale,resilienza,,abisso_vulcanico,env_to_traits,coverage_q4_2025
coda_balanciere,Coda Balanciere,Sensoriale,Analitico,T1,sensoriale,analitico,,caverna_risonante,env_to_traits,coverage_q4_2025
coda_contrappeso,Coda Contrappeso,Locomotorio,Mobilità,T1,locomotorio,mobilita,,mangrovieto_cinetico,env_to_traits,coverage_q4_2025
coda_coppia_retroattiva,Coda Coppia Retroattiva,Tegumentario,Difensivo,T1,difensivo,protezione,,steppe_algoritmiche,env_to_traits,coverage_q4_2025
coda_stabilizzatrice_filo,Coda Stabilizzatrice Filo,Digestivo,Metabolico,T1,metabolico,energia,,canopia_ionica,env_to_traits,coverage_q4_2025
coda_stabilizzatrice_geiser,Coda Stabilizzatrice Geiser,Supporto,Logistico,T1,supporto,logistico,,dorsale_termale_tropicale,env_to_traits,coverage_q4_2025
coda_stabilizzatrice_vortex,Coda Stabilizzatrice Vortex,Offensivo,Assalto,T1,offensivo,assalto,,stratosfera_tempestosa,env_to_traits,coverage_q4_2025
coda_frusta_cinetica,Coda a Frusta Cinetica,Locomotorio,Difensivo,T1,locomotorio,difensivo,,falde_magnetiche_psioniche;orbita_psionica_inversa,env_to_traits,controllo_psionico
colonne_vibromagnetiche,Colonne Vibromagnetiche,Strategico,Tattico,T1,strategia,tattico,,caverna_risonante,env_to_traits,coverage_q4_2025
coralli_partner,Coralli Partner,Simbiotico,Cooperativo,T1,simbiotico,cooperazione,,reef_luminescente,env_to_traits,coverage_q4_2025
criostasi_adattiva,Criostasi,Metabolico,Difensivo,T1,metabolico,difensivo,,canopia_psionica_leggera;orbita_psionica_inversa,env_to_traits,controllo_psionico
cromofori_alert_acido,Cromofori Alert Acido,Strutturale,Adattivo,T1,strutturale,resilienza,,foresta_acida,env_to_traits,coverage_q4_2025
cuore_multicamera_bassa_pressione,Cuore Multicamera Bassa Pressione,Sensoriale,Analitico,T1,sensoriale,analitico,,stratosfera_tempestosa,env_to_traits,coverage_q4_2025
cuscinetti_elettrostatici,Cuscinetti Elettrostatici,Locomotorio,Mobilità,T1,locomotorio,mobilita,,pianura_salina_iperarida,env_to_traits,coverage_q4_2025
cute_resistente_sali,Cute Resistente Sali,Tegumentario,Difensivo,T2,difensivo,protezione,,badlands,env_to_traits,coverage_q4_2025
cuticole_cerose,Cuticole Cerose,Digestivo,Metabolico,T1,metabolico,energia,,,,
cuticole_neutralizzanti,Cuticole Neutralizzanti,Supporto,Logistico,T1,supporto,logistico,,foresta_acida,env_to_traits,coverage_q4_2025
denti_chelatanti,Denti Chelatanti,Offensivo,Assalto,T1,offensivo,assalto,,foresta_acida,env_to_traits,coverage_q4_2025
denti_ossidoferro,Denti Ossidoferro,Strategico,Tattico,T1,strategia,tattico,,abisso_vulcanico,env_to_traits,coverage_q4_2025
denti_silice_termici,Denti Silice Termici,Simbiotico,Cooperativo,T1,simbiotico,cooperazione,,dorsale_termale_tropicale,env_to_traits,coverage_q4_2025
denti_tuning_fork,Denti Tuning Fork,Strutturale,Adattivo,T1,strutturale,resilienza,,caverna_risonante,env_to_traits,coverage_q4_2025
ventriglio_gastroliti,"Denti sonci (ciottoli/sassi), ti nutri di tutto",Digestivo,Alimentare,T1,digestivo,alimentare,,caverna_risonante,env_to_traits,controllo_psionico
sonno_emisferico_alternato,Dormire con solo metà cervello alla volta,Nervoso,Omeostatico,T1,nervoso,omeostatico,,caverna_risonante,env_to_traits,controllo_psionico
echi_risonanti,Echi Risonanti,Sensoriale,Analitico,T1,sensoriale,analitico,,caverna_risonante,env_to_traits,coverage_q4_2025
empatia_coordinativa,Empatia Coordinativa,Supporto,Empatico,T1,supporto,coordinazione,A,,,
enzimi_antifase_termica,Enzimi Antifase Termica,Locomotorio,Mobilità,T1,locomotorio,mobilita,,caldera_glaciale,env_to_traits,coverage_q4_2025
enzimi_antipredatori_algali,Enzimi Antipredatori Algali,Tegumentario,Difensivo,T1,difensivo,protezione,,reef_luminescente,env_to_traits,coverage_q4_2025
enzimi_chelanti,Enzimi Chelanti,Digestivo,Metabolico,T1,metabolico,energia,,,,
enzimi_chelatori_rapidi,Enzimi Chelatori Rapidi,Supporto,Logistico,T1,supporto,logistico,,foresta_acida,env_to_traits,coverage_q4_2025
enzimi_metanoossidanti,Enzimi Metanoossidanti,Offensivo,Assalto,T1,offensivo,assalto,,abisso_vulcanico,env_to_traits,coverage_q4_2025
epidermide_dielettrica,Epidermide Dielettrica,Strategico,Tattico,T1,strategia,tattico,,stratosfera_tempestosa,env_to_traits,coverage_q4_2025
epitelio_fosforescente,Epitelio Fosforescente,Simbiotico,Cooperativo,T1,simbiotico,cooperazione,,reef_luminescente,env_to_traits,coverage_q4_2025
filamenti_magnetotrofi,Filamenti Magnetotrofi,Strutturale,Adattivo,T1,strutturale,resilienza,,abisso_vulcanico,env_to_traits,coverage_q4_2025
filamenti_superconduttivi,Filamenti Superconduttivi,Sensoriale,Analitico,T1,sensoriale,analitico,,caldera_glaciale,env_to_traits,coverage_q4_2025
filamenti_termoconduzione,Filamenti Termoconduzione,Locomotorio,Mobilità,T1,locomotorio,mobilita,,dorsale_termale_tropicale,env_to_traits,coverage_q4_2025
filamenti_digestivi_compattanti,Filamento materiali digeriti,Digestivo,Escretorio,T2,digestivo,escretorio,,caverna_risonante;falde_magnetiche_psioniche,env_to_traits,controllo_psionico
filtri_planctonici,Filtri Planctonici,Tegumentario,Difensivo,T1,difensivo,protezione,,laguna_bioreattiva,env_to_traits,coverage_q4_2025
flagelli_ancoranti,Flagelli Ancoranti,Digestivo,Metabolico,T1,metabolico,energia,,laguna_bioreattiva,env_to_traits,coverage_q4_2025
focus_frazionato,Focus Frazionato,Strategico,Psionico,T1,strategia,psionico,A C,,,
foliage_fotocatodico,Foliage Fotocatodico,Supporto,Logistico,T1,supporto,logistico,,foresta_acida,env_to_traits,coverage_q4_2025
foliaggio_spugna,Foliaggio Spugna,Offensivo,Assalto,T1,offensivo,assalto,,mangrovieto_cinetico,env_to_traits,coverage_q4_2025
frusta_fiammeggiante,Frusta Fiammeggiante,Offensivo,Controllo,T2,offensivo,controllo,,rovine_planari,pathfinder_import,pathfinder_dataset
ghiaccio_piezoelettrico,Ghiaccio Piezoelettrico,Strategico,Tattico,T1,strategia,tattico,,caldera_glaciale,env_to_traits,coverage_q4_2025
ghiandola_caustica,Ghiandola Caustica,Offensivo,Chimico,T1,offensivo,assalto,A,,,
ghiandole_cambio_salino,Ghiandole Cambio Salino,Simbiotico,Cooperativo,T1,simbiotico,cooperazione,,laguna_bioreattiva,env_to_traits,coverage_q4_2025
ghiandole_condensa_ozono,Ghiandole Condensa Ozono,Strutturale,Adattivo,T1,strutturale,resilienza,,stratosfera_tempestosa,env_to_traits,coverage_q4_2025
ghiandole_eco_mappanti,Ghiandole Eco Mappanti,Sensoriale,Analitico,T1,sensoriale,analitico,,caverna_risonante,env_to_traits,coverage_q4_2025
ghiandole_fango_calde,Ghiandole Fango Calde,Locomotorio,Mobilità,T1,locomotorio,mobilita,,abisso_vulcanico,env_to_traits,coverage_q4_2025
ghiandole_fango_coesivo,Ghiandole Fango Coesivo,Tegumentario,Difensivo,T1,difensivo,protezione,,mangrovieto_cinetico,env_to_traits,coverage_q4_2025
ghiandole_grafene,Ghiandole Grafene,Digestivo,Metabolico,T1,metabolico,energia,,steppe_algoritmiche,env_to_traits,coverage_q4_2025
ghiandole_inchiostro_luce,Ghiandole Inchiostro Luce,Supporto,Logistico,T1,supporto,logistico,,reef_luminescente,env_to_traits,coverage_q4_2025
ghiandole_iodoattive,Ghiandole Iodoattive,Offensivo,Assalto,T1,offensivo,assalto,,pianura_salina_iperarida,env_to_traits,coverage_q4_2025
ghiandole_minerali,Ghiandole Minerali,Strategico,Tattico,T1,strategia,tattico,,dorsale_termale_tropicale,env_to_traits,coverage_q4_2025
ghiandole_nebbia_acida,Ghiandole Nebbia Acida,Simbiotico,Cooperativo,T1,simbiotico,cooperazione,,foresta_acida,env_to_traits,coverage_q4_2025
ghiandole_nebbia_ionica,Ghiandole Nebbia Ionica,Strutturale,Adattivo,T1,strutturale,resilienza,,canopia_ionica,env_to_traits,coverage_q4_2025
ghiandole_resina_conduttiva,Ghiandole Resina Conduttiva,Sensoriale,Analitico,T1,sensoriale,analitico,,canopia_ionica,env_to_traits,coverage_q4_2025
ghiandole_ventosa,Ghiandole Ventosa,Locomotorio,Mobilità,T1,locomotorio,mobilita,,caldera_glaciale,env_to_traits,coverage_q4_2025
mimetismo_cromatico_passivo,Ghiandole di Mimetismo Cromatico Passivo,Tegumentario,Difensivo,T1,tegumentario,difensivo,,canopia_psionica_leggera;falde_magnetiche_psioniche,env_to_traits,controllo_psionico
giunti_antitorsione,Giunti Antitorsione,Tegumentario,Difensivo,T1,difensivo,protezione,,mangrovieto_cinetico,env_to_traits,coverage_q4_2025
grassi_termici,Grassi Termici,Digestivo,Metabolico,T1,metabolico,energia,,,,
gusci_criovetro,Gusci Criovetro,Supporto,Logistico,T1,supporto,logistico,,caldera_glaciale,env_to_traits,coverage_q4_2025
gusci_magnesio,Gusci Magnesio,Offensivo,Assalto,T1,offensivo,assalto,,dorsale_termale_tropicale,env_to_traits,coverage_q4_2025
lamelle_shear,Lamelle Shear,Strategico,Tattico,T1,strategia,tattico,,stratosfera_tempestosa,env_to_traits,coverage_q4_2025
lamelle_sincroniche,Lamelle Sincroniche,Simbiotico,Cooperativo,T1,simbiotico,cooperazione,,steppe_algoritmiche,env_to_traits,coverage_q4_2025
lamelle_termoforetiche,Lamelle Termoforetiche,Respiratorio,Termoregolazione,T2,respiratorio,termoregolazione,,sorgenti_geotermiche,env_to_traits,controllo_psionico
lamine_filtranti_aeree,Lamine Filtranti Aeree,Strutturale,Adattivo,T1,strutturale,resilienza,,mangrovieto_cinetico,env_to_traits,coverage_q4_2025
lamine_scudo_silice,Lamine Scudo Silice,Sensoriale,Analitico,T1,sensoriale,analitico,,dorsale_termale_tropicale,env_to_traits,coverage_q4_2025
linfa_tampone,Linfa Tampone,Locomotorio,Mobilità,T1,locomotorio,mobilita,,foresta_acida,env_to_traits,coverage_q4_2025
lingua_cristallina,Lingua Cristallina,Tegumentario,Difensivo,T1,difensivo,protezione,,pianura_salina_iperarida,env_to_traits,coverage_q4_2025
lingua_tattile_trama,Lingua Tattile Trama-Sensibile,Sensoriale,Alimentare,T1,sensoriale,alimentare,,caverna_risonante,env_to_traits,controllo_psionico
luminescenza_aurorale,Luminescenza Aurorale,Digestivo,Metabolico,T1,metabolico,energia,,caldera_glaciale,env_to_traits,coverage_q4_2025
luminescenza_hydrotermica,Luminescenza Hydrotermica,Supporto,Logistico,T1,supporto,logistico,,abisso_vulcanico,env_to_traits,coverage_q4_2025
secrezione_rallentante_palmi,Mani secernano liquido rallentante,Tegumentario,Difensivo,T1,tegumentario,difensivo,,caverna_risonante,env_to_traits,controllo_psionico
mantelli_geotermici,Mantelli Geotermici,Offensivo,Assalto,T1,offensivo,assalto,,caldera_glaciale,env_to_traits,coverage_q4_2025
mantello_meteoritico,Mantello Meteoritico,Difesa,Termoregolazione,T3,difesa,termico,,rovine_planari,pathfinder_import,pathfinder_dataset
membrane_captura_rugiada,Membrane Captura Rugiada,Strategico,Tattico,T1,strategia,tattico,,pianura_salina_iperarida,env_to_traits,coverage_q4_2025
membrane_eliofiltranti,Membrane Eliofiltranti,Respiratorio,Protezione,T2,respiratorio,protezione,,laghi_alcalini,env_to_traits,controllo_psionico
membrane_planata_vectored,Membrane Planata Vectored,Simbiotico,Cooperativo,T1,simbiotico,cooperazione,,canopia_ionica,env_to_traits,coverage_q4_2025
membrane_pneumatofori,Membrane Pneumatofori,Strutturale,Adattivo,T1,strutturale,resilienza,,mangrovieto_cinetico,env_to_traits,coverage_q4_2025
midollo_antivibrazione,Midollo Antivibrazione,Sensoriale,Analitico,T1,sensoriale,analitico,,caverna_risonante,env_to_traits,coverage_q4_2025
mucillagine_simbionte_mangrovie,Mucillagine Simbionte delle Mangrovie,Simbiotico,Difensivo,T1,simbiotico,difensivo,,mangrovie_risonanti,env_to_traits,controllo_psionico
mucose_aderenza_sonica,Mucose Aderenza Sonica,Locomotorio,Mobilità,T1,locomotorio,mobilita,,caverna_risonante,env_to_traits,coverage_q4_2025
mucose_barofile,Mucose Barofile,Tegumentario,Difensivo,T1,difensivo,protezione,,abisso_vulcanico,env_to_traits,coverage_q4_2025
nodi_micorrizici_oracolari,Nodi Micorrizici Oracolari,Simbiotico,Nervoso,T3,simbiotico,nervoso,,reti_micorriziche,env_to_traits,controllo_psionico
occhi_infrarosso_composti,Occhi Composti ad Infrarosso,Sensoriale,Visivo,T1,sensoriale,visivo,,caverna_risonante,env_to_traits,controllo_psionico
olfatto_risonanza_magnetica,Olfatto di Risonanza Magnetica,Sensoriale,Nervoso,T2,sensoriale,nervoso,,falde_magnetiche_psioniche;orbita_psionica_inversa,env_to_traits,controllo_psionico
pathfinder,Pathfinder,Esplorazione,Tattico,T1,strategia,ricognizione,A,,,
pianificatore,Pianificatore,Strategico,Tattico,T1,strategia,tattico,A C,,,
piume_solari_fotovoltaiche,Piume Solari Fotovoltaiche,Tegumentario,Energetico,T2,tegumentario,energetico,,altipiani_solari,env_to_traits,controllo_psionico
polmoni_cristallini_alta_quota,Polmoni Cristallini d'Alta Quota,Respiratorio,Aerobico,T2,respiratorio,aerobico,,picchi_cristallini,env_to_traits,controllo_psionico
respiro_a_scoppio,Respiro a scoppio,Respiratorio,Propulsivo,T1,respiratorio,propulsivo,,caverna_risonante,env_to_traits,controllo_psionico
eco_interno_riflesso,Riflesso dell'Eco Interno,Sensoriale,Nervoso,T2,sensoriale,nervoso,,canopia_psionica_leggera;falde_magnetiche_psioniche,env_to_traits,controllo_psionico
risonanza_di_branco,Risonanza di Branco,Supporto,Coordinativo,T1,supporto,coordinazione,A B C,,,
sacche_spore_stratosferiche,Sacche di Spore Stratosferiche,Simbiotico,Supporto,T3,simbiotico,supporto,,stratosfera_portante,env_to_traits,controllo_psionico
sacche_galleggianti_ascensoriali,Sacche galleggianti ascensoriali,Idrostatico,Locomotorio,T1,idrostatico,locomotorio,,canopia_psionica_leggera;orbita_psionica_inversa,env_to_traits,controllo_psionico
sangue_piroforico,Sangue che prende fuoco a contatto con l'ossigeno,Offensivo,Cinetico,T1,offensivo,impatto,,caverna_risonante,env_to_traits,controllo_psionico
scheletro_idro_regolante,Scheletro Idro-Regolante,Strutturale,Omeostatico,T1,strutturale,omeostatico,,caverna_risonante,env_to_traits,controllo_psionico
sensori_geomagnetici,Sensori Geomagnetici,Sensoriale,Navigazione,T1,sensoriale,navigazione,,pianure_magnetiche,env_to_traits,controllo_psionico
sinapsi_coraline_polifoniche,Sinapsi Coraline Polifoniche,Simbiotico,Comunicazione,T2,simbiotico,comunicazione,,barriere_coralline_psioniche,env_to_traits,controllo_psionico
spore_psichiche_silenziate,Spora Psichica Silenziosa,Escretorio,Psichico,T1,escretorio,psichico,,caverna_risonante,env_to_traits,controllo_psionico
squame_rifrangenti_deserto,Squame Rifrangenti del Deserto,Tegumentario,Difensivo,T2,tegumentario,difensivo,,dune_cristalline,env_to_traits,controllo_psionico
struttura_elastica_amorfa,"Struttura elastica, allungabile, amorfa, retrattile",Strutturale,Locomotorio,T1,strutturale,locomotorio,,canopia_psionica_leggera;falde_magnetiche_psioniche,env_to_traits,controllo_psionico
tattiche_di_branco,Tattiche di Branco,Strategico,Tattico,T1,strategia,coordinazione,B,,,
random,Trait Random,Flessibile,Generico,T1,strategia,adattivo,A B,,,
nucleo_ovomotore_rotante,"Uovo rotaia, uovo grande e uova piccole dentro...",Riproduttivo,Locomotorio,T1,riproduttivo,locomotorio,,caverna_risonante,env_to_traits,controllo_psionico
vello_condensatore_nebbie,Vello Condensatore di Nebbie,Tegumentario,Idratazione,T1,tegumentario,idratazione,,foreste_nubose,env_to_traits,controllo_psionico
zampe_a_molla,Zampe a Molla,Mobilità,Cinetico,T1,locomotorio,propulsione,A B,,,
zoccoli_risonanti_steppe,Zoccoli Risonanti delle Steppe,Locomotorio,Supporto,T1,locomotorio,supporto,,steppe_risonanti,env_to_traits,controllo_psionico
